Epoch 1/2
	 * Train loss: 2.846158209108699
	 * Validation loss: 2.850098661075896
Epoch 2/2
	 * Train loss: 2.777072689969376
	 * Validation loss: 2.8156563796617338
Accuracy on test data: 0.1527777777777778
         82445611 function calls (82409333 primitive calls) in 200.966 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.003    0.001    0.010    0.005 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/font_manager.py:1393(_findfont_cached)
      400    0.003    0.000    0.006    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/autograd/profiler.py:610(__exit__)
      426    0.003    0.000    0.021    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/lines.py:738(draw)
      622    0.003    0.000    0.072    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
      446    0.003    0.000    0.003    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
        4    0.003    0.001    0.003    0.001 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/linalg/linalg.py:492(inv)
     1558    0.003    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:1975(rotate)
     3933    0.003    0.000    0.006    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:1889(__init__)
8630/7273    0.003    0.000    0.040    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:289(wrapper)
      204    0.003    0.000    0.019    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/ticker.py:2077(_raw_ticks)
      123    0.003    0.000    0.086    0.001 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:1270(_update_ticks)
    13223    0.003    0.000    0.003    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:113(__init__)
    38184    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     4304    0.003    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:104(__init__)
3678/3676    0.002    0.000    0.006    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/transforms.py:1849(transform_affine)
        4    0.002    0.001    0.002    0.001 {method 'tolist' of 'torch._C.TensorBase' objects}
    28561    0.002    0.000    0.002    0.000 {function RcParams.__getitem__ at 0x122561d00}
     2390    0.002    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:231(__call__)
     3678    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
     7245    0.002    0.000    0.014    0.000 {built-in method _abc._abc_instancecheck}
     2451    0.002    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/_api/__init__.py:64(check_isinstance)
      408    0.002    0.000    0.002    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        6    0.002    0.000    0.002    0.000 {built-in method io.open}
      594    0.002    0.000    0.021    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:157(_reset_visual_defaults)
        1    0.002    0.002    1.633    1.633 /Users/eloidieme/dev/python-projects/convnet/src/cnnClassifier/models/train.py:177(plot_confusion_matrix)
      324    0.002    0.000    0.007    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/seaborn/utils.py:699(relative_luminance)
      100    0.002    0.000    0.048    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/axis.py:65(__init__)
     2143    0.002    0.000    0.004    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
     2184    0.002    0.000    0.048    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
      796    0.002    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/utils/data/_utils/worker.py:89(get_worker_info)
        2    0.002    0.001    0.026    0.013 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/figure.py:2398(__init__)
  780/195    0.002    0.000    0.016    0.000 /opt/homebrew/Cellar/python@3.11/3.11.8/Frameworks/Python.framework/Versions/3.11/lib/python3.11/copy.py:227(_deepcopy_dict)
      402    0.002    0.000    0.002    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:1446(format_dict)
      402    0.002    0.000    0.067    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/tqdm/std.py:1150(__str__)
      400    0.002    0.000    0.069    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/torch/autograd/profiler.py:604(__enter__)
     2139    0.002    0.000    0.011    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2692(max)
   1350/6    0.002    0.000    0.280    0.047 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
